clean fast rotator,complex fast rotator,long gap,weird,comment on
TIC_17417151,TIC_71374255,TIC_14087575,TIC_156364508,TIC_459350219
TIC_49954689,TIC_72499657,TIC_29853348,TIC_206605715,TIC_427346731
TIC_134631370,TIC_203036339,TIC_36124955,TIC_217182385,
TIC_144282456,TIC_284865356,TIC_44743153,TIC_363782768,
TIC_167664935,TIC_378413560,TIC_48064387,TIC_399020708,
TIC_197005132,TIC_405040121,TIC_50745567,,
TIC_217182385,TIC_408589330,TIC_57151431,,
TIC_370705545,,TIC_60922830,,
TIC_449941032,,TIC_77954300,,
,,TIC_93242288,,
,,TIC_99135067,,
,,TIC_112176566,,
,,TIC_112472211,,
,,TIC_118278380,,
,,TIC_129623324,,
,,TIC_133974737,,
,,TIC_139725285,,
,,TIC_144289734,,
,,TIC_149771158,,
,,TIC_152176559,,
,,TIC_152479307,,
,,TIC_160329609,,
,,TIC_164210761,,
,,TIC_165941376,,
,,TIC_169530372,,
,,TIC_185462761,,
,,TIC_192543856,,
,,TIC_193136669,,
,,TIC_200668936,,
,,TIC_213009118,,
,,TIC_213240679,,
,,TIC_220617943,,
,,TIC_221355243,,
,,TIC_241661288,,
,,TIC_243400994,,
,,TIC_244161191,,
,,TIC_245066871,,
,,TIC_245339150,,
,,TIC_258908663,,
,,TIC_266271836,,
,,TIC_266842406,,
,,TIC_268862481,,
,,TIC_276453848,,
,,TIC_281757097,,
,,TIC_294993587,,
,,TIC_307757953,,
,,TIC_308245136,,
,,TIC_319739812,,
,,TIC_321805583,,
,,TIC_333734230,,
,,TIC_334524122,,
,,TIC_336741253,,
,,TIC_339308290,,
,,TIC_339397736,,
,,TIC_343648067,,
,,TIC_344552743,,
,,TIC_369394619,,
,,TIC_369743686,,
,,TIC_375729536,,
,,TIC_381377851,,
,,TIC_382543452,,
,,TIC_424881692,,
,,TIC_427346731,,
,,TIC_429152610,,
,,TIC_429152614,,
,,TIC_436783866,,
,,TIC_437230158,,
,,TIC_438627800,,
,,TIC_443480340,,
,,TIC_451922999,,
,,TIC_454196756,,
,,TIC_460844584,,
,,TIC_464779449,,
,,TIC_466265409,,