Unnamed: 0,TIC_ID,INJECTED_PER,INJECTED_T0
0,TIC_422692632,4.803248681775289,1411.708408768459
1,TIC_359892714,8.42083634907776,1601.6603276822714
2,TIC_363782768,13.48090826487285,1657.2644381594405
3,TIC_118278380,10.51785861143214,1657.939665720141
4,TIC_360779428,14.096323802101631,1545.1483540766544
5,TIC_405756510,11.66236440664757,1601.7986082118034
6,TIC_345324572,11.220238489177811,1765.29403491343
7,TIC_141146667,1.598205226779655,2421.219390366875
8,TIC_239134011,3.2630021988849407,1842.908176150636
9,TIC_321805583,6.646129911321219,1601.4569479840443
10,TIC_258382313,11.838222006111677,1571.566458519035
11,TIC_372515598,6.370200739331787,1573.8092072633078
12,TIC_245821503,2.7600635330307384,1438.5286051420285
13,TIC_219290316,6.0532916676021165,1657.3379588702155
14,TIC_137823194,10.337032737759303,1683.6658259447638
15,TIC_43451370,1.742744488450723,1386.485599757587
16,TIC_461066586,6.5754825895298525,1571.968187102755
17,TIC_144155582,2.3675446369194315,1571.7487989985575
18,TIC_294993587,7.19484681973848,1628.7535244504104
19,TIC_339397736,6.021450246863941,1657.4059944976825
20,TIC_232965288,11.009327927278145,2420.7402757666086
21,TIC_408411330,13.604133803859767,2448.0367664927767
22,TIC_260778617,8.293238564510323,1573.0161483327963
23,TIC_351680104,3.292476687833997,2391.1853712569978
24,TIC_332213483,8.950892125754102,1601.60753525645
25,TIC_385504478,10.202422606897054,2474.943871013123
26,TIC_266002317,11.294388568496508,2201.8243791373907
27,TIC_187681788,1.675129848302367,1817.3884638060213
28,TIC_291074569,4.831671091326564,1900.612536999712
29,TIC_429152614,5.433315716662385,1545.1164405682746
30,TIC_436783866,12.04955603207591,1602.0957612536292
31,TIC_9966678,6.012761193002076,1411.02105542107
32,TIC_405089321,5.603608008808515,1601.5277150451195
33,TIC_409372963,8.29436649658859,1930.377415471446
34,TIC_151610256,13.893565986499391,1629.4791341468922
35,TIC_453808153,12.045286700090632,1601.6959682604177
36,TIC_312617534,8.364139428225041,1601.6494203313362
37,TIC_345395031,6.412274233041407,2144.886772213123
38,TIC_101433378,7.715052596583293,1657.8908166332656
39,TIC_129623324,6.583934313586001,1601.5601853679066
40,TIC_84900299,5.052778665239888,1816.920299112099
41,TIC_451922999,2.0027215272210115,1572.1095837196694
42,TIC_57151431,2.445329082749537,1571.9520737324178
43,TIC_266271836,7.106734876263007,1628.4890996242164
44,TIC_302904748,10.55419363063205,2476.021520074385
45,TIC_405040121,1.386962903318961,1603.0210789410014
46,TIC_57830249,1.3232648970333702,1572.3283079256937
47,TIC_255551163,5.021822345061384,1442.398754731227
48,TIC_121049033,6.11912548548382,1411.898487609635
49,TIC_312185848,11.850391519802972,2528.1986009214456
50,TIC_269077806,13.907749118272784,1439.114662034751
51,TIC_408589330,8.895613999856161,2448.2774195505003
52,TIC_255488269,2.0945820526075707,1629.8589339368136
53,TIC_60922830,7.532429964226218,1764.7667805044644
54,TIC_138473191,3.3856132157764502,2391.852226092268
55,TIC_360205899,10.741681028213838,1544.753569435813
56,TIC_400513376,7.703563850190447,2475.4213652329845
57,TIC_17417151,8.293419107064697,2474.948417202755
58,TIC_369394619,12.308490171936802,1386.2295900089005
59,TIC_404144841,12.039759704238394,1601.481940442172
60,TIC_24452802,12.114639181307496,1439.9495918035273
61,TIC_32545814,2.889150051486787,1438.5442916016868
62,TIC_428055049,6.4540549888718335,1790.836411045593
63,TIC_406173242,9.266503250945055,1658.207980259673
64,TIC_136885277,12.74953660669517,1386.4699804904103
65,TIC_355373774,12.372952833812947,1518.938871860904
66,TIC_382543452,9.83694905238615,1629.1930216395235
67,TIC_160004720,4.935040772169363,1411.212230616762
68,TIC_134631370,5.238157624085532,1571.8370344933785
69,TIC_56459273,14.118774031941204,2474.8505895141807
70,TIC_233514176,6.438142889087266,1870.525351345077
71,TIC_375565862,8.335027809787622,1572.0664701217554
72,TIC_67568168,3.842637464683919,1790.718124850693
73,TIC_400331058,6.599063022297244,1572.7251862021938
74,TIC_266842406,9.15347799438636,1572.1737495881378
75,TIC_160329609,12.45532828523577,1468.5445592207027
76,TIC_280675564,7.644034383987318,1571.949119196089
77,TIC_209291266,6.560775786281514,1602.0989050511669
78,TIC_77951245,14.033736462729562,1440.015337287825
79,TIC_220617943,11.128471314593623,1440.1670784381845
80,TIC_444536794,11.246806607808104,1545.9003459039
81,TIC_438627800,6.200390045351469,1602.121191039725
82,TIC_169385570,13.342013608849236,1658.1304361133011
83,TIC_144667802,5.208951254658545,1468.9249587047357
84,TIC_255236579,2.1793914354405093,1629.6741617964994
85,TIC_364200072,10.383131660154037,1629.7086469877254
86,TIC_348555880,9.795201336842576,1629.511385812421
87,TIC_280945693,11.471853116597604,1601.6956284664743
88,TIC_399020708,1.271784096699435,1601.702755510347
89,TIC_167664935,4.081028628075824,2335.156045889171
90,TIC_372918535,10.406475949083111,2475.5946383857577
91,TIC_90723908,6.781775303702555,1657.3745663355896
92,TIC_447993848,3.9518592252444256,1602.4664663575516
93,TIC_411874804,10.752001426843345,1602.0124065094
94,TIC_309028466,1.2888708078302724,1544.8933952309987
95,TIC_68565222,5.5231214936410336,1629.1470817104328
96,TIC_378413560,9.597898635461696,1571.386339577005
97,TIC_322275995,14.707845267412669,2014.8041583343204
98,TIC_264599508,10.670741556620118,1492.21337765054
99,TIC_950715112,14.083342922838414,2420.114991693845
100,TIC_83211097,13.09982869676967,1601.7549893865023
101,TIC_48364505,7.183458163984627,1601.8338189864485
102,TIC_245339150,11.479310489079866,1601.8415646527765
103,TIC_91853165,12.297931250484815,1658.319264144876
104,TIC_221355243,13.868755845923785,1629.5386527010585
105,TIC_99135067,4.377674777171929,1842.708141567674
106,TIC_333734230,9.213874701588606,1545.088523734411
107,TIC_11568422,13.52035379989126,2116.35125470038
108,TIC_424881692,2.7231398997336926,1658.2370039540242
109,TIC_93242288,2.5407701731045527,1468.8814303706674
110,TIC_142391477,8.188875657835556,1571.9976427975932
111,TIC_159580128,9.240206424899924,1712.4878449248265
112,TIC_307255082,7.081720389188113,1571.2828374413953
113,TIC_203036339,11.056233516246891,1790.8176747538005
114,TIC_165909066,10.802179991513064,1572.448639445454
115,TIC_339308290,4.836954609425524,1601.9372453963374
116,TIC_251845153,4.012837109235259,1354.1391626179493
117,TIC_290674357,4.562745456080926,1572.460749014311
118,TIC_119855395,9.027297112746131,1468.8539252326957
119,TIC_370825476,5.558225628993645,1572.9158593625737
120,TIC_186779497,10.411665275937228,1518.4415930390633
121,TIC_17399504,9.735036505462004,1628.7465214053937
122,TIC_197884260,14.14821326841701,1356.5558538245514
123,TIC_355794672,10.446135762104085,1544.270642647578
124,TIC_47590073,7.992214693155926,1470.3384499987
125,TIC_349005337,11.470276097018386,2475.263839982158
126,TIC_140031179,3.672420128715275,1519.6257527509729
127,TIC_334524122,14.017021527984133,1601.638720415298
128,TIC_467368706,13.839495095963546,1571.1942124086172
129,TIC_241683370,10.375474899720112,1601.455121680147
130,TIC_20090694,9.086161889709713,1518.3284371293169
131,TIC_155657581,6.833450746711671,1683.6693806909489
132,TIC_71374255,7.856602693013006,1411.8520434812706
133,TIC_97882429,7.76218883990537,1628.7864354175065
134,TIC_393794445,3.739779551833311,1439.2987028994153
135,TIC_73308879,9.638155550799691,1571.9163492561738
136,TIC_213240679,7.737461461804829,1628.9396491489863
137,TIC_301048970,12.18745874897232,1629.4461171483244
138,TIC_302769205,7.713091663597862,1411.6429542155631
139,TIC_434100291,12.173985768618293,1355.3778329720492
140,TIC_133974737,7.576040937263496,1492.799007305163
141,TIC_197005132,2.923886913833525,1657.0878730052568
